Vocab_range,CEFR_level,Years_studying_L2,L1,Domain_of_specialization,Stay_duration_weeks,Stay_frequency,Language_exposure,L2,Dialang_writing_score,Reading_frequency,Other_language,Student_text,Reinforced_section
B1,A2,10.0,French,Pharmacy,4.0,2,6.0,Anglais,B1,weekly,,"I'm gonna write on one of the most famous discovering in the 19e century. It wasn't expected but the conclusion of the experience were still use nowadays.
It was on a cloudy and rainy morning on the 25th september 1928, the Alex Dupont's scientific assistant was discovering an unusual response of the bacteria he had put in culture before. The principal goal of the experience was to analyze the antibacterial effect of the lysozyme of the bacteria.
However, the culture were contaminated by a mushroom specie called Penicillium notatum ( well known with the term Clamoxyl ) . A big inhibition circle were appeared and could be seen in the Petri boxes.
After analyzing and putting in culture the Penicillium notatum, the Alex Dupont's assistant discovered a way to inhibit the bacteria proliferation and revolutionized the diagnosis and the treatment in term of bacteria's infection  . All the congratulations went to Alex Dupont, and the history has remembered him for the discovering even if the job was done by his scientific student.
 First of all, my opinion is clearly positive and for a pharmacy student, it talks! I think I'm open-minded and have facilities to accept contradictions and debate but I can't imagine people having a negative and closed position to this discover.
On the one hand, it has permitted to change people's lives and save many lives. Thanks to the experience, the Penicilines are still efficient for many diseases and takes the lead of the ATB in the world (the most common ATB). So useful, so precious and involve the way to treat diseases and cure people.
On the other hand, we've seen for many years the afthermaths of the massive use (constantly...maintly...): we can talk about resistance, the inefficiency, the weakness of this atb class for others diseases........",1
B2,B2,9.0,French,Information_and_communication,0.0,0,7.0,Anglais,B1,,,"Social networks started in the early 2000's with Facebook and twitter, today they are part of majority of people in their daily lives. Social networks are platforms for connecting individuals online. We can see on social networks posts like pictures, videos or personals texts... The most famous networks are sources of information in their own right. Stars, politicians... everyone are today on social networks. Consequently, social networks are essential in the field of communication and actuality. Communities and individuals are always bombarded with different messages. It's not only products that are shown but also what is sensed to be good and not, moods, attitudes...
 Groups produce divergent interpretation in terms on age, gender, religious... More and more we see the youngest having access to social networks. It should have an age limit because a teenager is not built enough to say that is good and that is bad on what he sees on social networks. Social networks influence those who are less informed and people who don't relied on their personal experience, or their own reasoning.
With social networks people combine the other ways to think of, they interact with media to create their own meanings out of images and messages they receive. We can called these people active people. And social networks can be a good way to stay informed bc on television or even in newspaper ideas are often the same and politically driven, while on social networks there are divergent opinions where you can debate and make your own opinion on the actuality ect... Unfortunately with creation of an algorithm on social networks, we will be forced without knowing it to see things, ideas that are similar, therefore we lose this idea of divergent opinions, it can be anxious and we risk forgetting that our way of thinking isn't the only and isn't necessarily judged as good.",0
A2,A2,10.0,French,Information_and_communication,0.0,0,3.0,Anglais,B1,monthly,None,"In my studies in communication, we have lessons of languages science. In this class, we had to do an advertising analysis. The goal of this brand was to sell his new service of delivery. For this, Monoprix has used the humor. The brand has try to describe the habits of Parisian. In Final, they are four video of this type. For this work, I have choose Monoprix advertising entitled ""The travel"". This is a story of three men who are in a bar after a party. One of them has cook for they others. His friend said to him he didn't know he cook as well Asian. And the last one answer the meal was so good and his tongue his already in time difference.  I have loved to work on this advertising. Now, I try to analyze more of advertising when I see poster on the street, advertising on the web or in the TV. I think it's important to try to understand the goal of the brand and the message she want to transmit.",0
B1,A2,8.0,French,Information_and_communication,11.0,2,3.0,Anglais,B1,,,"I'm gonna talk about the TV. In my opinion, the tv is a technological advance that changed the life of some peoples in the world because the tv makes possible to inform, to relax, to laugh for example and to spend time with her family that is something which is something really important and vital for me. It allowed us to discover many movies with good actors and these actors gain their money with there movies so the tv allow people to dreaming and maybe some people have the dream to became an actor. Moreover, the tv is in constant progress with the technologie because the tv in 90's are note the same than the tv of our days.  I think that the consequences of tv are good if the using of tv is well. This technologie will allow many people to watch the world information and I think that is very important in 2021 to be aware of what is happening all the days in the world. But, on another side, I think that we have to pay attention and supervise the Alex Dupont who spend too much time watching tv and their social lives reduce.",0
B1,B1,7.0,French,Information_and_communication,0.0,0,10.0,Anglais,A2,,,"I m going to speak about the creation of social media. The social media are a way to communicate with other people and share our life with picture, videos. For exemple, Instagram, Facebook or Snapchat are this types of social media. The social media are also a place to give his opinion, like Twitter. The first social media was Classmates.com, created in 1995 by Alex Dupont to communicate with his friends. Facebook, one of the biggest social media was created by Alex Dupont on February  4, 2004.
 I think the social media have positive and negative points. I think that's a good thing because the social media facilitate the communication between us, and it's more easely to have a social interaction. It's also more easely to communicate at professional level, because we can work, like today, in virtual classroom. So, I think the remote work can stay an option in the futur. But, the social media are also negative. If we are always in social media, we live in a virtual world, and that's can be dangerous for our healthy. Moreover, they have on social media lot of fake news, and we need to be careful at this informations.",0
A2,A2,8.0,French,Information_and_communication,0.0,0,0.0,Anglais,A2,never,Spanish,I go to give my opinion about the telecommuting. In the first time the telecommuting take many advantage. You can work when you want and where you want in the sun beach for example in the country than you love. Next work in telecommuting permit to don’t have the pressing exerce by your boss because you work at home. Moreover in you can organize your planning as you want for give more time for your family but too your hobbies for example. In the other hand for work telecommuting  you can be organized and disciplined because never has present for looking if your want. Moreover work at home can be difficult if you have children or if you are distracted by your smartphone or other things,1
B1,B1,10.0,French,Material_sciences,3.0,2,2.0,Anglais,A2,monthly,,"I am currently student in Paris at the University of Rennes 1 in second year of bachelor's degree mentions Earth Sciences Geosciences.My professionnel project is to become a mining Geologist.
Last year during 2 months, In July-August, I was in Paris Republic of the Congo) for an Internship at ERG Frontier, mining sector.
During this traineeship  I study and monitoring in the Department of Geology and Inventory of Earth Sciences Collections.
I discovery news technics of works in particulary with a mine planner who used a software to design the pit of the mine, otherwise I develop with him an algorithmic program to improve the performance of the mine production.
It was a very good experience.
 Refer to the other paragraph",0
A1,A1,10.0,French,Sports,2.0,1,20.0,Anglais,,never,Spanish,"I want to tell about my opinion on the crowds concept: Because I think that is a very interessant thematic. I will take to example of the football stadium, there are a supporter leader. And the other supporter follow him even if they did'nt know who is the person. Because, he see that all the people follows the leader, the people going to do the same thing and follow him. But the person don't follow the leader naturally, he follow him because he see that everybody follows the leader. So, it's that for all the people.
Alex Dupont ce texte afin de calculer votre vitesse de frappe :
""This webpage performs keylogging of input typed into a textbox. In other words, when focused on the textbox below, the page will record each time you hit a key or select text with your mouse. All of the data is stored locally on your machine in the DOM and is downloadable as a JSON file. More information about the motivation of this project and the format of the produced data are available here.""",1
C1,C1,12.0,French,Medicine,2.0,1,4.0,Anglais,B1,weekly,,"Let's talk about the dissection. In our studies we have to learn the anatomy of the full body and the main way to experiment the real life anatomy is to see it on a cadaver. The bodies are prepared before the course in order to see properly a part of these. Each course has a theme : the abdomen, the chest, the leg, the arm ... We are able to see how it works and to touch in order to have a more precise idea of the texture of each organ. The bodies are conserved by the used of formol. It's a great way to improve our theory about the anatomy and it prepares us not to be scared about a dead body. More it erase the aprrehension we can have about the sight of the inside of a body.",0
B1,A2,7.0,French,Information_and_communication,1.0,1,0.0,Anglais,A2,daily,Spanish,"The printing press was invented by a German : Alex Dupont in 1454. Alex Dupont prints his firts book : ""Bibiblia Sacra latina"" in february 1945. The printing press go diffuse rapidly in European and in ""Saint Empire Germanique"" (?). Then of printing works are created in Paris, Paris, Paris... in 150 cities. A lot book are printing, but literacy stay low.
 For me, The invention of the printing press is a major innovation for the world et for the Middle Ages. It allows acces to culture, educate and learn to read following this major development even if it will be necessary to wait until the 19th century for the peasants to have access to it. I think that this invention is used at the difussion of religion.The churches will use it for prints his books and propagate Christianity. The printing is created in 15th century et today, in 21th century, it is used always. I think also that the printing press revolutionized the thought. It has developed trades for example philosophers. Peoples also had access in information more easily.",1
B2,B2,11.0,French,Information_and_communication,0.0,0,120.0,Anglais,B2,daily,Korean,"webpage performs keylogging of input typed into a textbox. In other words, when focused on textbox below, the page will record each time you hit a key pr select text with your mouse. All of the data is stored locally on your machine in the DOM and is downloadable as a JSON file. More information about motivation of this project and the format of the produced data are available here.
networks exist for more than two decades now and nowadays we don't realize that we are constantly surrounded by them. For sharing a thought, a pic and even find The Love of Your Entire Life. \nSometimes I wonder if social media are not too much in our lives... \n\nIn a way, as a Gen Z I do use it. And to be honest I do love the time I spend on Instagram. I enjoy liking some landscapes, some models from luxury brands. Actually, since 2015~ I'm into asian culture especially Paris and Paris. Thus, social networks are the BEST way to get to know those countries. It's also thanks to social media that I met friends from foreign countries and that I can keep in touch with them. Honestly I am connected to the real world through the virtual world. Sometimes I realize that's a bit confusing but I think that it's how we are to the earth. \n\nI do enjoy it but I also do wonder if I'm not used... In a way.. \nSince Instagram creates content as I like pictures ect.. \n\nFact : I've seen on my way to university that even some advertising are made on an Instagram aesthetic. \n\nThat the reason I do wonder if my values suits social media values.",1
A2,A2,12.0,French,Material_sciences,0.0,0,4.0,Anglais,B1,weekly,,"One of the most impressive experience that I do in UR1 is when, in chemistry, we just made or, to be more specific, synthetise the product called ""Aspirine"".
It is not something complicated, and we really realised a product which can be consumed.
However we know that it is not the same in real life, it is a more biggest production, which is certainly with automates, but that is a good first step in the working world.
 I have already done many experiences (I have got a second years degre in Physics and Instrumentation), but we just analysed things already done.
Here, we have product something, we made what industry do, and it is also fine for us to know how things what we consumed are made.",0
B1,A2,9.0,French,Information_and_communication,0.0,0,10.0,Anglais,B1,daily,German,"I want to talk about the ""NFT"". It's a totally new technologie who has taken a big place in the internet cause of all the story of succes they have made, but i want to talk more about the impact of the NFT on The link bewteen human and internet. So ""NFT"" is the acronyme of ""Non-fungible token"" and its a technologie using the systeme of the blockchain that can be explain has a big big data base that anybody can use, so everyone can trust the blockchain beacause its 100% see-throught. And the NFT take place in the blockchain like a document who can certified that somebody is the owner of something that is not in the real world but in internet. So now that the NFT has been introduce we can talk about the consequence. First of all, the NFT has been populare thanks to the world of the digital art who has take the NFT for a tool that can monetize your art, so we have seen artiste sell NFT for 100K$ who have take all the place in the media but we still have NFT which have low price like 30$. But the NFT is more than just a certificat for PNG on the internet cause NFT can be anything and a lot of big thinker in the world say that in 10 years NfT are gonna be everwhere because she can be anything. Lets have an example, you want to take 2 place for the prefer artiste show of your daughter, so you go on internet with your etherum wallet (the crytocurrencie use for buying NFT) and the ticket are in a NFT modele so you buy them and you receive the NFT code that proves that you bought them. When you go to the show with your daughter, they ask you the NFT code, they check on the blockain who has buy the ticket, they see your number so they now sure that you have buy the tickets and you can go and have a wonderful show with your lovelly daughter. That is one example one thousand of thousand possible. In a close futur, NFT can bee anything like plane ticket, only possible acces to an event maybe your littel baker in your city want to make bread in exchange of NFT. We can see that NFT is a possible new type of exchange for everybody in the world that cant bee manipulate by state or the inflation cause nobody have te power on it.
 My point of view on the NFT is a good new technologie. If we take apart the idea that NFT is just a dumb way to use the money of rich people for make them buying things that are not real and just a picture of a stylish monkey. We can see all the potential of the NFT, its making hundred of projet everyday that goes from art to ecologicall projet. But NfT is not 100% clean dont let me say that, We know that NFT is polluting the world cause its increasing the carbone impact who is already so big and of course the NFT are like 10000% capitalist and liberal and that is not for sure totally great.",0
B2,B2,8.0,French,Information_and_communication,1.0,0,0.0,Anglais,B1,never,Spanish,"I will tell you about the birth of Facebook, which was born in 2004.
The idea comes from a young man, with the help
of a Harvard student, who launches the first version of what will be called
later: Facebook. But it was not yet considered a ""social network"" at
that time. It’s the
Harvard students who are trying this new project, more than half of them are
using it. It’s a real success. Then Facebook is developed to other universities. Well,
it was only two years later that anyone who was 13
years old could register.It is at this moment that the site is developed en mass.
 Personally, I think it has changed the social tie a lot, it is the first social network where everyone is present. I think it was a real upheaval, within in society and in people’s lives.  Today, less people use it, because with this discovery there was the birth of other social networks like: instagram, snapchat, twitter...",0
A2,A2,11.0,French,Information_and_communication,1.0,1,2.0,Anglais,B2,daily,Spanish,"At the beginning of my semester, I had sociology in my lesson panel. I discovered many authors like Alex Dupont, Alex Dupont or the famous Alex Dupont. Every week we had to write  a conclusion about our readings.
 It was very rich for ourself, I developed my reflexion on people and I changed my look on the way I live in general. Also, it felts very satisfying to be able to discuss sociology with the accurate terms thanks to my sociology professor's learning. To put it in a nutshell, sociology brings me new questions I asked to myself everyday.",1
B2,B2,12.0,French,Computer_science_and_electronics,2.0,1,56.0,Anglais,,daily,None,"I am into video games since I am able to put a controller in my hands. This is a massive part of the man I have become and mostly why I follow this way into computer engineering.
One of my favorite game is Outer Wilds, an exploration game where you play an archaeologist and an astronaut who travels across a tiny solar system in a
<b style=""font-size:1rem;"">spaceship to find clues about an antic civilisation. For me, playing this game was more than just a hobby, it was an experience. The way creators choose to show the danger of deep space is terrifying, but it’s also exciting to follow the track of a civilization that understood them.</b>
<b>
</b>	To create from nothing and see a result that makes me have chills is very inspiring, and I hope one day I will be that much competent. That’s why I choose to become a digital imaging engineer: I want to be a part of the video games adventure. I want to build a whole story, a whole world and make it lives. I want to see people being excited as much as I was.
	The perfect country to continue in my way would be Paris, in Paris. There are a lot of video games industries that could hire me after my studies; or even before the end. I also saw I could make a studies mobility at the UQAC at Paris. It have a video games section in the university that could help me develop some of my skills. However, travel to Paris is very expensive, and the study fees are so. That’s why I may need some financial help to put this project on the table.",0
B1,B1,6.0,Vietnamese,Information_and_communication,0.0,0,3.0,Anglais,B1,daily,English,"At this time, I'm working in my friend's non-profit project, which is propose a lot of information about studying aboard in Art for Vietnamese students having intention to follow this major. In the project, I create contents, sometimes write articles based on researches of other famous authors and post them on our website and social medias (Facebook, Instagram).
 This experience is a great opportunity to improve my skills in writing article. Now I've been trying to have more attractive articles for readers. I also learned to create a website. And ask for this project, I will have more and more competences in finding information, making surveys to research the tastes of readers.",0
B1,B1,13.0,French,Information_and_communication,2.0,2,4.0,Anglais,A1,monthly,Spanish,"The experience of
Milgram consisted to this :  a teacher will tell a dictation to a
learner with the authority of the experimenter. If the learner makes
a mistake, the teacher will send him an electric shock. The
experimentor push the teacher to continue even if he is doubting. The
teacher and the learner were comedians and there was no electric
shock. The learner was hiding and simulating pain. Then we asked the
“cobaye” how did he feel during the experience by reveiling him
it was an experience. This had many variant like the TV SHOW “The
Death Game” which showed how much the new media has an influence on
people.
We talked about
the experience of Alex Dupont which is evaluating our level of submission
to authority. The experience was published by the psychologist
Alex Dupont to analyze how the people were acting during
dictatorship. People were asking themselves how these populations
accepted what they did accept. We talked about this experience in the
history of media and how its role evolved during the years. The TV
show showed how much media and television could manage to order
people to do something. I think this experience is hard on people
because it makes them questionate about their values. They think they
are being sadistic. That's why it is good to comfort them after and
tell them it is normal to act like this with the submission of
authority. We think that the authority know what they are doing and we have
faith in them. We are also scared of the consequences if we don't
listen to them.",0
B1,B1,10.0,French,Medicine,0.0,0,1.0,Anglais,B1,never,,"As Alex Dupont said : ""Nothing is without poison, what makes poison is the dose"".
 From my point of view, people who use products or substances to stay active like coffee should not abuse of it. In the normal dose coffee is effective on the brain but if we abuse of it, it could bring an increase of cholesterol rate wich can cause a myocardial infarction for example. However, I think that this sentence is true for substances in everydaylife like coffee or food supplements but with parmacological products we have to be more attentive.",1
C2,C2,10.0,French,Sports,0.0,0,4.0,Anglais,B2,,,"Last year, in the field of sport, there was an innovation in the training of high level athletes. Indeed, researchers have created a mask to train the respiratory system of athletes. It has begun to appear in MMA athletes and in combat sports in general. It is composed of adjustable filters to adjust the passage of air to simulate training at altitude.
We know that training in the mountains is very beneficial for athletes, as can be seen in cyclists who do a lot of training in the high mountains to develop their cardio-vascular capacities.
They work like this: The higher you are, the more oxygen becomes scarce, which leads to a decrease in oxygenation of the lungs and blood: this is called hypoxia. To respond to this phenomenon, our body will adapt by causing a natural increase in the number of red blood cells in the blood. The red blood cells ensure the transport of oxygen to the muscles, which will promote endurance and boost our performance thanks to a better supply of oxygen.
 I have never been able to try this mask so I can't be certain. Nevertheless, I can make a few guesses. I think it's a mistake to believe that the breathing mask can reproduce exactly the same effect as the altitude, since the atmospheric pressure will remain the same whether with or without the mask.
But I think it can be a good way to prepare for a competition because it reduces the air coming in. So I think it's a big improvement for the sport. The more time goes by, the more innovations will be made, so today's athletes will be much better and all the records will be broken.",0
C1,C1,12.0,French,Medicine,4.0,0,9.0,Anglais,B2,daily,,"At the end of my first year of medicine, I spent a month in a psychiatric hospital, the first week as an auxiliary nurse and the 3 next weeks as a nurse, but mostly observing in both cases.
I saw different kinds of patients and pathologies : alcoolics, depressive people and some with more serious deseases as schizophrenia.
I helped with the meal preparation, and the daily life of the patients : helping them to wash themselves, to walk etc
I also participated in the the cleaning of the rooms, the bathrooms and changing the sheats of the beds for example.
In addition, I helped with more medical oriented tasks as taking blood pressures, blood samples, giving medications in the form of pills or injections (in the shoulders or the butt).
But most of the time, patients didn't need a technical medical car but only needed to talk to someone.
 I really enjoyed this time spent in the hospital.
It was my first experience with patients and I appreciated a lot the relationnal aspect of medicine and health care that I couldn't see during my first year when I was working for the contest.
It was also a great discovery to understand that people in psychiatric hospitals are not ""mad"" people as we often think, but are just sick people that need as much care and attention (if it isn't more) as the usual patients with only physical injuries or diseases.
But I also felt powerless when I saw that because the disease couldn't be ""seen"" or ""touched"" it was so difficult to treat it, and that several patients, and some of them very young, were spending several years in those hospitals before doctors could find the appropriate medications that would allow the patients to live a normal life again.",1
C2,C1,11.0,French,Life_and_environmental_sciences,40.0,1,7.0,Anglais,C1,daily,,"The GMO, genetically modified organisms, are subject to many controversies. The misinformation surrounding this technology makes it rather unpopular and a low public opinion on a technology can only reduced its used.  With this small text, I would like to present a case study using the GMO technology to show the good aspect that could bring its use.
  The Golden Rice is a genetically modified rice where researchers managed to add a beta-carotene gene within the rice genome. Why?
  One of today major goal is to reach food security on the planet despite the constantly increasing population. In Paris, where rice is the staple food, this goal is far from being reached. Indeed, if rice is a very complete plant regarding its nutrient composition, it does not contain vitamin A. The vitamin A deficiency can have several consequences. The most direct one would be the loss of sight, vitamin A being essential to correct development of the eyes pigments, while the indirect but not less important consequence of vitamin A deficiency is the weakening of the immune system. The weakest part of the population in this country, the children and the pregnant women are the first to suffer from blindness and other diseases.
  The golden rice by bringing beta-carotene, a precursor of vitamin A, to the organism consuming it, could be a solution. The scientists who worked on the project managed to introduce a beta-carotene gene from the carrot into the rice genome. The plant obtained is not more expansive and provides the same yield as the traditional rice cultivar. Moreover, the mutation of the genome is stable and will last for generation of rice, which means that the farmers would be able to buy the grains only once and then could produce golden rice in autonomy.
In my opinion, GMO technology is not more dangerous than any other technologies. For example, internet is a technology. Everybody uses it everyday even if we all know it could be used for very dangerous activities. GMO are the same. If we learn to use it properly, they could be an actual solution to reach food security.",1
A2,A2,7.0,French,Information_and_communication,0.0,0,4.0,Anglais,B1,,,"I don't realy know what I can write here but I think that I will talk about Smartphone. In fact, it's an invention or a new tecnique very important in our society. We use this item every day in our daily in all situations. It bring together different medias like television, radio or newspaper for example and it’s an important way of communication. Indeed, it allow to be in contact with other people but with the world too. Moreover the access at the information is easier.
 In my opinion, this invention has different consequences. First, I think that people are addict to it, it became a necessity for everyone. Then, we can say that it have changed our vision of the wolrd for exemple with our relation to time. Indeed, with this item, everything go faster, our days are planned up to the minute. With the calendar, notifications of events or maps which permit to know the itinerary's time. Moreover, we have access to the information all around the world whithout problem. So it change our relation to the world.",0
A2,A2,10.0,French,Pharmacy,4.0,2,2.0,Anglais,B1,never,,"The invention of contraception is a big advanced in terms of liberation of women and sexuality. In fact, because of unwanted pregnancy, the role of women was consacred at the education of her children and being the perfect house-wife.
Unfortunately, the majority of  contraception methods are destined to women and so the secondary effect  too. Because of the hormons of the pills, all the emotion are amplified.  The libido, the weight, the agressivity for example, are affected.
This is why the men contraception was in developement, but recently they decided to stop the clinical essay : because of the secondary effect .",1
B2,C1,12.0,French,Information_and_communication,0.0,0,7.0,Anglais,A1,daily,Spanish,"I choose to talk about the invention of “My heritage”.
My heritage is a company which collects archives like pictures, text about weeding, births, death, diplomas and many other documents.
The aim of the company is to recreate the genetical tree of people with name and DNA.
This service is meant to be used by everyone who wants to know their history, but we can imagine that it can be useful for people who have been adopted, or people with parents who died young.
<b>
</b>So the company asks for a DNA test that they will analyze and also put in their database to see if it matches with someone’s DNA test.
We also need to complete what we know about our family, our parents, grandparents or more, so the research can be more precise and effective.
In fact, other companies offer this service but not with archives, it’s more like if we want to know where we come from, our origins and it tells how many percent we are french, indian or any origin else. But it also works with DNA tests.
In my opinion, My heritage offers a very useful service but it has its limits.
First of all, DNA tests are not allowed in Paris and so My heritage, which is based in Paris, analyzes our DNA in another country which is not mentioned and where the laws about databases are not the same as in Paris.
Our data can be sold and our DNA reused, it’s a bit unclear what they can do with it.
<b>
</b>Second, people can be found although they don’t want to be, it’s why in Paris women can give birth “under X” and keep the anonyma.
Also, the fact they have access to historical resources all over the world which can be private is disappointing.
Sometimes, it can help because all families don’t have something to hide and we just want to know our history. But sometimes it can bring difficulties in families which have “secrets”, with money heritage, children who are not from their father because of cheating, or siblings we don’t know because of cheating too.
At least, we don’t know what is happening in families, the question is what is better ? Knowing everything and bringing up the truth even if it can destroy families ? Or, live a comfortable life without knowing ?",0
B2,B2,12.0,French,Sports,5.0,2,3.0,Anglais,B1,,,"The first time I've heard about ski freeride I was 16 years old and I was not as good at ski as today. But now I've been skying every year I've been more intrested by this sport. So I started to watch the Free ride World tour, the biggest competition of ski freeride. So I've watched Alex Dupont or Alex Dupont (famous french freeriders) and I've been quickly impressed by this sport and by them. This discipline is very particular because it's dangerous, amazing, bluffing, hard to do, so this is why it's unique. It's also an extreme sport because of the fact that every run you do could be the last one because Mountains are dangerous and unpredictable so at every moment, during a run an avalanch can appear. Moreover, the injuries can be very serious if you fall.
When you are intrested by a sport you try to do the same but at differents levels. So once, I've tried to do an off pist to do the same that they do, skiing deep in the snow, without any people on the pist, the sensations are not the sames.
The extreme sport is limit test of the body, with others words, it's adrenaline. To watch this is very satisfactory, images are beautiful with great landscapes. Riders are doing amazing tricks. The most famous freerider is Alex Dupont, he's just unbelievable in what he does, he jumps further away than everybody, he does tricks that no one can do, he go faster etc.
For many years this sport was unknown by people but now that people go on youtube or internet easier they can watch this even if it's not on purpose, you just heard about something incredible that has been done and you check it out. This extreme sport is a modjo for those freeriders, they eat ski, they sleep ski and they live ski. When it's summer they just go on the otherside of the globe where there is snow on mountains and they continue to ski. Or another alternative is continu tu ride but on a skateboard or on a surfboard but they never stop ride.
 Done above",1
B2,B1,14.0,French,Information_and_communication,5.0,3,20.0,Anglais,A1,daily,German,"The Metaverse is an incredible creation made by Alex Dupont. It's a software made to be run on Vr headset. The principal point of this software it's to create the next big place of social event and work place. Metaverse is divided in small world where you can do a lot of different things : Hold a meeting, Buy a house, do social gathering. In some ways it ressemble Ready player one, a place where you can do everything but in the metaverse you are link to your facebook you cannot fake your identity and u have to pay with real money.  But it runs with big data problems and usage, meta got problems with EU about the usage of data in americans data centers where meta want to transfer EU data in Paris to be able to analyse it. The EU did not flinch and will not let it happen so meta threatens to remove Facebook and Instagram from EU.
 In my opinion Metaverse is really Evil and Good. For the evil part, the first problem it's created by facebook (aka now Meta) an corporation who use and sell your data to a lot of ad creator so they can target their ad really precisely. The second problem it's managed by Facebook so we cannot to sure about the future of the metaverse. It's really perveted to use real money to buy virtual housing and object in this metaverse. I can't understand the point of this software as right now, i hope for it to turn really good because on the good part of the metaverse, it's really a good idea to have a big firm, a GAFA to add funds in virtual reality. The Vr community really need funds and visilibity for it to reach the public because it have suffer at the beginning with heavely price and a tides effect where everyone who wears the helmet for more than 30 minutes wanted to vomit. Now the prices of an headset is really cheaper and have really improve the tides effect, but the public remembers only the start of it and Vr is in the shadow so we need big firm to push it in the spotlight for the programmers and the public go back and look and invest in it. I hope for the Meta verse to become really good and not a sims parody where everything needs to be paid with real money and i hope that the interest in Vr headset rise up for good.  Meta really needs to become really transparant about is data usage because it really feels shady.",0
B1,B1,5.0,French,Computer_science_and_electronics,0.0,0,0.0,Anglais,B2,weekly,,"Java is a language that permits easy portability.
Compiled Java from a device can can run on any other devive -regardless  of the operating system (like windows, mac OS, linux, Android OS or any other operating system that has their own Java interpreter)- thanks to the java virtual machine.
Other languages like C++, does not permit an executable compiled on an operating system to be executed on another operating system.
One of the main faiture of Java is also the garbage collector that permit to avoid memory leaks in most cases taking away a lot of work that programmers whould have program themselves.
 Programming in Java makes life easier for programmers that whant their application to be cross platform.",0
B1,B1,10.0,French,Computer_science_and_electronics,1.0,1,1.0,Anglais,A2,weekly,,"The open-source initiative is a way to shared free resources firstly instaured by computer science community. It's a paradigm where everyone can use and reuse someonelse's code or technology if it's under open-source licence.  Instead of develop which has already been developped people are sharing their own code, and the community can arrange the code or improve this one by requesting or adding new features.
Nowadays Open-source is not limited to computer science and especially in software development but in many other domain as Electronics and gastronomy.
 These kind of initiative is making our world more connected and more collaborative world. Open-source have been helping regular people to use and reuse hard to understand code for decade years now. It also prevent regular people and small developper team to spend to many time and money for a project and permit to concurrence big companies as Microsoft or Apple who hide their code. Otherwise Linux Operating system ""is kind of""  born with this paradigm.
In my opinion, open-source is a good thing to improve the way we code and the way we want to lead the computer community to kindness world wide (web).",1
B1,A2,11.0,French,Information_and_communication,0.0,0,2.0,Anglais,,daily,Spanish,"Last year in my english class i discover a poem named The New Colosus written by Alex Dupont . I really like this poem because he speaks about the statue of liberty and for me the statue of liberty is the most famous monument in the world and personnally i really like this monument. Alex Dupont describes the satue she says she has a torch and a book in her arms.
Moreover this poem shows the signification of statue which is liberty,freedom,integration,american dream... In the poem we can read a sentence which says the statue is compared to a beacon. If we think about it the  statue is like a beacon to help immigrants who arrive in Paris. The poem is named New Colossus in refrence to the old colossus an old statue in Paris but this statue didn't exist anymore.
For me this poem is very good and i am very happy to present this poem here because the last year i really enjoy to learn and to analyse this poem in my class beacause i learn a lot of thinks about the statue of liberty ,Paris , immigrants and old colossus. If you really like Paris like me it's an interesting poem to study.",1
B2,B2,9.0,French,Information_and_communication,15.0,10,5.0,Anglais,,weekly,Spanish,"Nowadays there are a lot of influencers on instagram or in other social media. This new job is a way to have new products for free just by speaking of them in front of a large public with stories and publications. Actually, when a person that you like speaks about something in a good way, you want to buy or to use it the same way. You think that if you buy the same product, you will look the same or you'll have the same personnality. The brands use this phenomenon to sell their products. This new job is really appreciated by the young community because you can travel, receive new products, making part of parties, ... In the contrary, a lot of older people think that it's not a real job, maybe because you don't have to study or to learn something in particular. Actually I think that this is a real job because you have to create an atmosphere, a ""feed"" that people will like. That is a real communication stake. Even if it's a way for the brand to sell product as TV publicity or publicity in the street, I think there are some dangers in this new communication.
 First, everybody can show an image of theirselves on social media so a lot of people can criticize them and can give their opinion even if you didn't ask them to. This phenomenon increase violence and bullying.
Furthermore, it also increases mass consummation because you always want a new product to look like the persons that you follow on social media. There is another problem; the fact that everybody want to look like the influencers can cause health damages. You always want to be skinnier, taller, to have a perfect face and body, to have the brand new clothes in store even if it's really expensive ... Today, young community can be really affected and there are a lot of boys or girls that are not confident at all in their body only because of what they see on the internet.
Then, there is a study problem. The job of influencer can be considered as a ""dream"" job. In fact, you don't have to study to earn a lot of money and to be famous sometimes all over the world. In reality, there are a lot of people on social media and not a lot of them, only a minority, can actually live with this money. We get lazier with time and that's not a good thing. We need doctors, psychologist, sellers, waiters, ...
Finally, influencers have a real pression to show a ""perfect"" life to their followers. Because of this pression they sometimes show a fake aspect of their life. That can be really dangerous. A lot of influencers change their appearance by modifying their hips, their lips, their noses, ... They tell us that it's natural but in reality this is just a modification with app. Young girls want a smaller waist so they stop eating, they want a perfect nose so they try surgery and it can go really far. It's the same thing with the lifestyle. Influencers show what they want us to see. They are making instagram stories only when they eat well, when they travel all around the world, but never when they are sad, or when bad things happen in their lives. That's the real problem. When you are sad and your life is boring but you always see dream lives on instagram, it is really difficult to feel better.
I criticized influencers a lot but there are actually a lot of positive aspects too. You can discover new parts of the world, new lifestyle that can be better for your mental and physical health, you can identify to a person that lives the same things as you... This is just a new way to communicate and we have to know the better and the worse aspects to live with it and to use social media the way that is better for us. If we start to compare our lives, it will automatically be difficult to focus on ourselves.",0
